rang,id,naslov,tip,st_epizod,leto,ogledi,ocena
88,170,Slam Dunk,TV,101,1993,126460,8.54
89,9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,TV,11,2011,721636,8.53
90,10408,Hotarubi no Mori e,Movie,1,2011,346755,8.53
91,5028,Major S5,TV,25,2009,41502,8.53
92,21,One Piece,OVA,4,2015,70638,8.52
94,24415,Kuroko no Basket 3rd Season,TV,25,2015,317534,8.52
95,10165,Nichijou,TV,26,2011,418260,8.52
96,35760,Shingeki no Kyojin Season 3,TV,12,2018,365628,8.52
97,28171,Shokugeki no Souma,TV,24,2015,686358,8.52
98,777,Hellsing Ultimate,OVA,10,2006,464695,8.51
99,24687,Mushishi Zoku Shou: Odoro no Michi,Special,1,2014,54260,8.51
100,10162,Usagi Drop,TV,11,2011,290244,8.51
101,5205,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),Movie,1,2009,128490,8.5
102,22535,Kiseijuu: Sei no Kakuritsu,TV,24,2014,751023,8.5
103,31812,Kuroshitsuji Movie: Book of the Atlantic,Movie,1,2017,73071,8.5
104,32182,Mob Psycho 100,TV,12,2016,569037,8.5
105,32,Neon Genesis Evangelion: The End of Evangelion,Movie,1,1997,327863,8.5
106,38262,Pingu in the City (2018),TV,26,2018,3898,8.5
107,205,Samurai Champloo,TV,26,2004,594203,8.5
108,36999,Zoku Owarimonogatari,Movie,1,2018,48197,8.5
109,5941,Cross Game,TV,50,2009,75949,8.49
110,21899,Gintama: Yorinuki Gintama-san on Theater 2D,Movie,2,2012,20644,8.49
111,17389,Kingdom 2nd Season,TV,39,2013,50190,8.49
112,877,Nana,TV,47,2006,281020,8.49
113,16498,Shingeki no Kyojin,TV,25,2013,1472352,8.48
114,392,Yuu☆Yuu☆Hakusho,TV,112,1992,301738,8.48
115,2251,Baccano!,TV,13,2007,517764,8.47
116,28805,Bakemono no Ko,Movie,1,2015,191256,8.47
117,10030,Bakuman. 2nd Season,TV,25,2011,216402,8.47
118,14397,Chihayafuru 2,TV,25,2013,123157,8.47
119,32366,Gintama°: Aizome Kaori-hen,OVA,2,2016,37673,8.47
120,35557,Houseki no Kuni,TV,12,2017,166686,8.47
121,136,Hunter x Hunter,TV,62,1999,252362,8.47
122,16894,Kuroko no Basket 2nd Season,TV,25,2013,383289,8.47
123,36275,Natsume Yuujinchou Roku Specials,Special,2,2017,16859,8.47
124,22789,Barakamon,TV,12,2014,358875,8.46
125,467,Ghost in the Shell: Stand Alone Complex,TV,26,2002,267528,8.46
126,572,Kaze no Tani no Nausicaä,Movie,1,1984,201695,8.46
127,33,Kenpuu Denki Berserk,TV,25,1997,322271,8.46
128,11981,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,Movie,1,2013,205449,8.46
129,13125,Shinsekai yori,TV,25,2012,447697,8.46
130,7655,Major S6,TV,25,2010,36177,8.45
131,2246,Mononoke,TV,12,2007,138638,8.45
132,31181,Owarimonogatari,TV,12,2015,218819,8.45
133,35788,Shokugeki no Souma: San no Sara,TV,12,2017,310206,8.45
134,31646,3-gatsu no Lion,TV,22,2016,230158,8.44
135,9260,Kizumonogatari I: Tekketsu-hen,Movie,1,2016,221106,8.44
136,35677,Liz to Aoi Tori,Movie,1,2018,25192,8.44
137,9756,Mahou Shoujo Madoka★Magica,TV,12,2011,685852,8.44
138,11917,Major: World Series,OVA,2,2011,20871,8.44
139,10937,Mobile Suit Gundam: The Origin,OVA,6,2015,32336,8.44
140,13601,Psycho-Pass,TV,22,2012,819009,8.44
141,25777,Shingeki no Kyojin Season 2,TV,12,2017,757400,8.44
142,32282,Shokugeki no Souma: Ni no Sara,TV,13,2016,448354,8.44
143,523,Tonari no Totoro,Movie,1,1988,446173,8.44
144,12029,Uchuu Senkan Yamato 2199,OVA,26,2012,69766,8.44
145,31964,Boku no Hero Academia,TV,13,2016,923510,8.43
146,25537,Fate/stay night Movie: Heaven's Feel - I. Presage Flower,Movie,1,2017,130627,8.43
