rang,id,naslov,tip,st_epizod,leto,ogledi,ocena
131,2246,Mononoke,TV,12,2007,138638,8.4
132,31181,Owarimonogatari,TV,12,2015,218819,8.4
133,35788,Shokugeki no Souma: San no Sara,TV,12,2017,310206,8.4
134,31646,3-gatsu no Lion,TV,22,2016,230158,8.4
137,9756,Mahou Shoujo Madoka★Magica,TV,12,2011,685852,8.4
140,13601,Psycho-Pass,TV,22,2012,819009,8.4
141,25777,Shingeki no Kyojin Season 2,TV,12,2017,757400,8.4
142,32282,Shokugeki no Souma: Ni no Sara,TV,13,2016,448354,8.4
145,31964,Boku no Hero Academia,TV,13,2016,923510,8.4
147,10087,Fate/Zero,TV,13,2011,724377,8.4
148,6594,Katanagatari,TV,12,2010,309978,8.4
151,2559,Romeo no Aoi Sora,TV,33,1995,24457,8.4
152,12531,Sakamichi no Apollon,TV,12,2012,207736,8.4
155,486,Kino no Tabi: The Beautiful World,TV,13,2003,159375,8.4
156,18115,Magi: The Kingdom of Magic,TV,25,2013,411430,8.4
157,5341,Ookami to Koushinryou II,TV,12,2009,294962,8.4
158,25835,Shirobako,TV,24,2014,247007,8.4
161,37105,Grand Blue,TV,12,2018,136800,8.4
162,5420,Kemono no Souja Erin,TV,50,2009,52859,8.4
165,37430,Tensei shitara Slime Datta Ken,TV,24,2018,196379,8.4
166,30230,Diamond no Ace: Second Season,TV,51,2015,63155,8.4
169,1698,Nodame Cantabile,TV,23,2007,210575,8.4
170,30503,Noragami Aragoto,TV,13,2015,615799,8.4
171,31240,Re:Zero kara Hajimeru Isekai Seikatsu,TV,25,2016,815015,8.4
173,28701,Fate/stay night: Unlimited Blade Works 2nd Season,TV,13,2015,373172,8.3
175,14719,JoJo no Kimyou na Bouken (TV),TV,26,2012,402435,8.3
176,4081,Natsume Yuujinchou,TV,13,2008,305775,8.3
177,19815,No Game No Life,TV,12,2014,1074522,8.3
178,5040,One Outs,TV,25,2008,126743,8.3
179,45,Rurouni Kenshin: Meiji Kenkaku Romantan,TV,94,1996,293509,8.3
185,4224,Toradora!,TV,25,2008,990414,8.3
188,627,Major S1,TV,26,2004,58602,8.3
189,1210,NHK ni Youkoso!,TV,24,2006,411792,8.3
190,36949,Shokugeki no Souma: San no Sara - Toutsuki Ressha-hen,TV,12,2018,212934,8.3
191,338,Versailles no Bara,TV,40,1979,48577,8.3
192,57,Beck,TV,26,2004,196471,8.3
194,32937,Kono Subarashii Sekai ni Shukufuku wo! 2,TV,10,2017,496090,8.3
195,1842,Major S3,TV,26,2007,41635,8.3
196,5081,Bakemonogatari,TV,15,2009,722111,8.3
199,11771,Kuroko no Basket,TV,25,2012,524966,8.3
200,558,Major S2,TV,26,2005,43257,8.3
202,329,Planetes,TV,26,2003,148860,8.3
206,36296,Hinamatsuri,TV,12,2018,176517,8.3
208,11843,Danshi Koukousei no Nichijou,TV,12,2012,408244,8.3
209,19363,Gin no Saji 2nd Season,TV,11,2014,93706,8.3
210,1889,Higurashi no Naku Koro ni Kai,TV,24,2007,286663,8.3
211,5690,Nodame Cantabile Finale,TV,11,2010,89704,8.3
212,2966,Ookami to Koushinryou,TV,13,2008,473896,8.3
214,36649,Banana Fish,TV,24,2018,102900,8.3
215,22297,Fate/stay night: Unlimited Blade Works,TV,12,2014,465059,8.3
216,1142,Hachimitsu to Clover II,TV,12,2006,75135,8.3
218,30,Neon Genesis Evangelion,TV,26,1995,704963,8.3
219,853,Ouran Koukou Host Club,TV,26,2006,571280,8.3
222,9863,SKET Dance,TV,77,2011,139168,8.3
225,34822,Tsuki ga Kirei,TV,12,2017,200106,8.3
226,34798,Yuru Camp△,TV,12,2018,147734,8.3
227,2402,Ashita no Joe,TV,79,1970,34916,8.3
228,7674,Bakuman.,TV,25,2010,357595,8.3
229,34636,Ballroom e Youkoso,TV,24,2017,138505,8.3
233,3002,Gyakkyou Burai Kaiji: Ultimate Survivor,TV,26,2007,164183,8.3
234,6811,InuYasha: Kanketsu-hen,TV,26,2009,143811,8.3
235,22145,Kuroshitsuji: Book of Circus,TV,10,2014,193343,8.3
236,18195,Little Busters!: Refrain,TV,13,2013,102293,8.3
237,3226,Major S4,TV,26,2008,39437,8.3
240,13759,Sakurasou no Pet na Kanojo,TV,24,2012,606601,8.3
244,32867,Bungou Stray Dogs 2nd Season,TV,12,2016,233481,8.3
245,813,Dragon Ball Z,TV,291,1989,582201,8.3
247,22507,Initial D Final Stage,TV,4,2014,46288,8.3
249,34577,Nanatsu no Taizai: Imashime no Fukkatsu,TV,24,2018,314325,8.3
251,6,Trigun,TV,26,1998,403895,8.3
252,3091,xxxHOLiC Kei,TV,13,2008,94112,8.3
253,6547,Angel Beats!,TV,13,2010,1089044,8.2
255,31988,Hibike! Euphonium 2,TV,13,2016,108146,8.2
256,185,Initial D First Stage,TV,26,1998,131239,8.2
257,1604,Katekyo Hitman Reborn!,TV,203,2006,353550,8.2
262,10800,Chihayafuru,TV,25,2011,231248,8.2
263,121,Fullmetal Alchemist,TV,51,2003,844575,8.2
267,23847,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,TV,13,2015,396546,8.2
269,6746,Durarara!!,TV,24,2010,797100,8.2
270,35972,Fairy Tail: Final Series,TV,26,2011,93143,8.2
272,33051,Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season,TV,25,2016,62286,8.2
273,23327,Space☆Dandy 2nd Season,TV,13,2014,92277,8.2
274,1519,Black Lagoon: The Second Barrage,TV,12,2006,278536,8.2
276,25681,Kamisama Hajimemashita◎,TV,12,2015,155468,8.2
278,962,Aria The Natural,TV,26,2006,50759,8.2
279,28223,Death Parade,TV,12,2015,722243,8.2
280,235,Detective Conan,TV,1,2010,30328,8.2
285,23755,Nanatsu no Taizai,TV,24,2014,732925,8.2
287,37171,Asobi Asobase,TV,12,2018,102621,8.2
288,20899,JoJo no Kimyou na Bouken: Stardust Crusaders,TV,24,2014,270744,8.2
290,1453,Maison Ikkoku,TV,96,1986,34679,8.2
293,18,Initial D Fourth Stage,TV,24,2004,72171,8.2
294,35062,Mahoutsukai no Yome,TV,24,2017,386535,8.2
296,4477,Nodame Cantabile: Paris-hen,TV,11,2008,89884,8.2
298,4722,Skip Beat!,TV,25,2008,173298,8.2
300,3701,Kaiba,TV,12,2008,83885,8.2
301,16067,Nagi no Asu kara,TV,26,2013,339490,8.2
302,23623,Non Non Biyori Repeat,TV,12,2015,101776,8.2
304,24277,Yowamushi Pedal: Grande Road,TV,24,2014,77651,8.2
305,24833,Ansatsu Kyoushitsu,TV,22,2015,657655,8.2
306,232,Cardcaptor Sakura,TV,70,1998,252752,8.2
309,37675,Overlord III,TV,13,2018,217392,8.2
310,721,Princess Tutu,TV,38,2002,99504,8.2
311,11123,Sekaiichi Hatsukoi 2,TV,12,2011,94802,8.2
312,1559,Shijou Saikyou no Deshi Kenichi,TV,50,2006,180993,8.2
313,440,Shoujo Kakumei Utena,TV,39,1997,113871,8.2
314,2025,Darker than Black: Kuro no Keiyakusha,TV,25,2007,595968,8.2
316,239,Gankutsuou,TV,24,2004,140867,8.2
317,16706,Kami nomi zo Shiru Sekai: Megami-hen,TV,12,2013,204203,8.2
318,8129,Kuragehime,TV,11,2010,142467,8.2
319,14513,Magi: The Labyrinth of Magic,TV,25,2012,511836,8.2
320,2581,Mobile Suit Gundam 00,TV,25,2007,151569,8.2
321,11597,Nisemonogatari,TV,11,2012,394224,8.2
322,1827,Seirei no Moribito,TV,26,2007,140229,8.2
325,34076,Uchouten Kazoku 2,TV,12,2017,37428,8.2
326,2167,Clannad,TV,23,2007,789278,8.1
329,18689,Diamond no Ace,TV,75,2013,118186,8.1
331,7054,Kaichou wa Maid-sama!,TV,26,2010,570934,8.1
334,1735,Naruto: Shippuuden,TV,500,2007,874387,8.1
335,28025,Tsukimonogatari,TV,4,2014,201974,8.1
336,23283,Zankyou no Terror,TV,11,2014,558204,8.1
337,27833,Durarara!!x2 Ketsu,TV,12,2016,200760,8.1
340,8425,Gosick,TV,24,2011,328878,8.1
341,18679,Kill la Kill,TV,24,2013,837058,8.1
342,12031,Kingdom,TV,38,2012,83496,8.1
