rang,id,naslov,tip,st_epizod,leto,ogledi,ocena
89,9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,TV,11,2,721636,8.5
90,10408,Hotarubi no Mori e,Movie,1,2,346755,8.5
91,5028,Major S5,TV,25,2,41502,8.5
92,21,One Piece,TV,4,2,70638,8.5
94,24415,Kuroko no Basket 3rd Season,TV,25,2,317534,8.5
95,10165,Nichijou,TV,26,2,418260,8.5
96,35760,Shingeki no Kyojin Season 3,TV,12,2,365628,8.5
97,28171,Shokugeki no Souma,TV,24,2,686358,8.5
98,777,Hellsing Ultimate,OVA,10,2,464695,8.5
99,24687,Mushishi Zoku Shou: Odoro no Michi,Special,1,2,54260,8.5
100,10162,Usagi Drop,TV,11,2,290244,8.5
101,5205,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),Movie,1,2,128490,8.5
102,22535,Kiseijuu: Sei no Kakuritsu,TV,24,2,751023,8.5
103,31812,Kuroshitsuji Movie: Book of the Atlantic,Movie,1,2,73071,8.5
104,32182,Mob Psycho 100,TV,12,2,569037,8.5
105,32,Neon Genesis Evangelion: The End of Evangelion,Movie,1,1,327863,8.5
106,38262,Pingu in the City (2018),TV,26,2,3898,8.5
107,205,Samurai Champloo,TV,26,2,594203,8.5
108,36999,Zoku Owarimonogatari,Movie,1,2,48197,8.5
109,5941,Cross Game,TV,50,2,75949,8.4
110,21899,Gintama: Yorinuki Gintama-san on Theater 2D,Movie,2,2,20644,8.4
111,17389,Kingdom 2nd Season,TV,39,2,50190,8.4
112,877,Nana,TV,47,2,281020,8.4
113,16498,Shingeki no Kyojin,TV,25,2,1472352,8.4
114,392,Yuu☆Yuu☆Hakusho,TV,112,1,301738,8.4
115,2251,Baccano!,TV,13,2,517764,8.4
116,28805,Bakemono no Ko,Movie,1,2,191256,8.4
117,10030,Bakuman. 2nd Season,TV,25,2,216402,8.4
118,14397,Chihayafuru 2,TV,25,2,123157,8.4
119,32366,Gintama°: Aizome Kaori-hen,OVA,2,2,37673,8.4
120,35557,Houseki no Kuni,TV,12,2,166686,8.4
121,136,Hunter x Hunter,TV,62,1,252362,8.4
122,16894,Kuroko no Basket 2nd Season,TV,25,2,383289,8.4
123,36275,Natsume Yuujinchou Roku Specials,Special,2,2,16859,8.4
124,22789,Barakamon,TV,12,2,358875,8.4
125,467,Ghost in the Shell: Stand Alone Complex,TV,26,2,267528,8.4
126,572,Kaze no Tani no Nausicaä,Movie,1,1,201695,8.4
127,33,Kenpuu Denki Berserk,TV,25,1,322271,8.4
128,11981,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,Movie,1,2,205449,8.4
129,13125,Shinsekai yori,TV,25,2,447697,8.4
130,7655,Major S6,TV,25,2,36177,8.4
131,2246,Mononoke,TV,12,2,138638,8.4
132,31181,Owarimonogatari,TV,12,2,218819,8.4
133,35788,Shokugeki no Souma: San no Sara,TV,12,2,310206,8.4
134,31646,3-gatsu no Lion,TV,22,2,230158,8.4
135,9260,Kizumonogatari I: Tekketsu-hen,Movie,1,2,221106,8.4
136,35677,Liz to Aoi Tori,Movie,1,2,25192,8.4
137,9756,Mahou Shoujo Madoka★Magica,TV,12,2,685852,8.4
138,11917,Major: World Series,OVA,2,2,20871,8.4
139,10937,Mobile Suit Gundam: The Origin,OVA,6,2,32336,8.4
140,13601,Psycho-Pass,TV,22,2,819009,8.4
141,25777,Shingeki no Kyojin Season 2,TV,12,2,757400,8.4
142,32282,Shokugeki no Souma: Ni no Sara,TV,13,2,448354,8.4
143,523,Tonari no Totoro,Movie,1,1,446173,8.4
144,12029,Uchuu Senkan Yamato 2199,OVA,26,2,69766,8.4
145,31964,Boku no Hero Academia,TV,13,2,923510,8.4
146,25537,Fate/stay night Movie: Heaven's Feel - I. Presage Flower,Movie,1,2,130627,8.4
147,10087,Fate/Zero,TV,13,2,724377,8.4
148,6594,Katanagatari,TV,12,2,309978,8.4
149,11979,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,Movie,1,2,121978,8.4
150,37078,Quanzhi Gaoshou Specials,Special,3,2,40952,8.4
151,2559,Romeo no Aoi Sora,TV,33,1,24457,8.4
152,12531,Sakamichi no Apollon,TV,12,2,207736,8.4
153,34036,Detective Conan: Episode One - The Great Detective Turned Small,Special,1,2,12727,8.4
154,3784,Evangelion: 2.0 You Can (Not) Advance,Movie,1,2,253605,8.4
155,486,Kino no Tabi: The Beautiful World,TV,13,2,159375,8.4
156,18115,Magi: The Kingdom of Magic,TV,25,2,411430,8.4
157,5341,Ookami to Koushinryou II,TV,12,2,294962,8.4
158,25835,Shirobako,TV,24,2,247007,8.4
159,10863,Steins;Gate: Oukoubakko no Poriomania,Special,1,2,243498,8.4
160,5,Cowboy Bebop: Tengoku no Tobira,Movie,1,2,195275,8.4
161,37105,Grand Blue,TV,12,2,136800,8.4
162,5420,Kemono no Souja Erin,TV,50,2,52859,8.4
163,34240,Shelter,OVA,2,2,179692,8.4
165,37430,Tensei shitara Slime Datta Ken,TV,24,2,196379,8.4
166,30230,Diamond no Ace: Second Season,TV,51,2,63155,8.4
167,30346,Doukyuusei (Movie),Movie,1,2,75948,8.4
168,20651,Natsume Yuujinchou: Itsuka Yuki no Hi ni,OVA,1,2,45072,8.4
169,1698,Nodame Cantabile,TV,23,2,210575,8.4
170,30503,Noragami Aragoto,TV,13,2,615799,8.4
171,31240,Re:Zero kara Hajimeru Isekai Seikatsu,TV,25,2,815015,8.4
172,1365,Detective Conan Movie 06: The Phantom of Baker Street,Movie,1,2,41177,8.3
173,28701,Fate/stay night: Unlimited Blade Works 2nd Season,TV,13,2,373172,8.3
174,18617,Girls &amp;amp; Panzer Movie,Movie,1,2,51482,8.3
175,14719,JoJo no Kimyou na Bouken (TV),TV,26,2,402435,8.3
